gender,job,industry,age,total_spending,average_spending,number_of_transaction
0,2,2,25,270000,135000.0,2
1,1,6,33,90000,90000.0,1
1,4,7,30,270000,135000.0,2
1,0,9,28,360000,180000.0,2
1,4,7,28,405000,135000.0,1
0,3,0,23,450000,90000.0,5
0,4,3,29,90000,90000.0,1
0,1,4,28,135000,135000.0,1
0,0,3,31,90000,90000.0,1
1,2,6,26,270000,135000.0,2
1,1,7,28,135000,135000.0,1
1,3,0,24,225000,225000.0,1
0,4,4,31,180000,90000.0,1
0,0,5,34,90000,90000.0,1
1,1,8,28,540000,108000.0,4
0,0,1,32,45000,45000.0,1
1,1,5,29,225000,112500.0,2
0,3,0,23,360000,360000.0,1
1,2,6,26,90000,90000.0,1
1,3,0,21,180000,180000.0,1
1,4,2,30,90000,90000.0,1
1,2,4,25,180000,90000.0,2
0,1,3,28,90000,90000.0,1
0,2,6,26,90000,90000.0,1
1,4,6,47,270000,270000.0,1
1,0,6,28,90000,90000.0,1
1,4,6,47,45000,45000.0,1
1,0,2,39,315000,315000.0,1
0,1,8,30,90000,90000.0,1
0,3,0,24,90000,90000.0,1
1,0,9,29,270000,90000.0,3
1,2,6,26,135000,135000.0,1
1,1,9,30,90000,90000.0,1
1,0,9,28,360000,120000.0,3
1,3,0,24,90000,90000.0,1
1,2,9,25,675000,135000.0,4
0,2,2,27,90000,90000.0,1
1,2,4,26,495000,165000.0,3
1,1,1,31,90000,90000.0,1
1,4,1,29,180000,180000.0,1
1,2,4,26,225000,225000.0,1
1,2,9,27,180000,180000.0,1
0,4,6,32,180000,180000.0,1
0,4,1,32,90000,90000.0,1
1,1,6,29,405000,101250.0,4
0,2,1,27,180000,180000.0,1
1,4,3,29,450000,112500.0,4
1,3,0,24,90000,90000.0,1
0,3,0,24,45000,45000.0,1
1,1,1,33,135000,135000.0,1
1,4,1,32,270000,90000.0,3
1,1,3,50,90000,90000.0,1
1,1,8,29,270000,135000.0,2
1,3,0,24,90000,90000.0,1
0,3,0,23,90000,90000.0,1
0,2,9,26,45000,45000.0,1
1,3,0,23,270000,270000.0,1
0,2,3,27,540000,90000.0,5
1,3,0,20,90000,90000.0,1
1,4,4,29,90000,90000.0,1
1,1,3,31,135000,135000.0,1
0,2,5,27,135000,67500.0,2
1,2,5,25,90000,90000.0,1
0,1,8,30,90000,90000.0,1
0,2,5,25,90000,90000.0,1
0,4,9,30,225000,112500.0,1
1,1,8,35,135000,135000.0,1
1,2,9,27,180000,90000.0,2
1,3,0,24,180000,180000.0,1
0,2,3,26,270000,90000.0,3
1,2,7,25,225000,112500.0,2
1,2,5,27,90000,90000.0,1
0,3,0,24,90000,90000.0,1
0,0,3,29,180000,180000.0,1
1,2,9,26,450000,90000.0,3
1,0,4,29,180000,90000.0,2
1,3,0,24,225000,112500.0,2
0,1,5,28,135000,135000.0,1
1,1,4,38,315000,315000.0,1
1,1,8,37,90000,90000.0,1
1,2,4,27,450000,450000.0,1
1,1,5,36,135000,135000.0,1
1,2,9,25,180000,90000.0,2
1,3,0,24,135000,135000.0,1
0,4,1,32,90000,90000.0,1
0,1,1,33,90000,90000.0,1
1,3,0,22,90000,45000.0,2
0,0,1,28,180000,90000.0,2
0,2,5,26,135000,135000.0,1
0,1,2,30,90000,90000.0,1
0,4,5,31,90000,90000.0,1
0,1,6,32,630000,157500.0,3
0,4,7,28,180000,90000.0,2
1,4,6,30,90000,90000.0,1
0,4,1,29,315000,315000.0,1
1,0,1,41,180000,90000.0,2
0,2,4,25,135000,135000.0,1
0,4,9,28,180000,90000.0,2
1,1,9,28,180000,180000.0,1
0,0,8,28,90000,90000.0,1
0,2,8,26,90000,90000.0,1
1,1,2,30,90000,90000.0,1
0,4,8,30,405000,135000.0,1
1,0,6,31,90000,90000.0,1
1,0,3,30,225000,112500.0,2
1,4,1,33,180000,180000.0,1
1,2,7,27,270000,270000.0,1
0,0,4,28,180000,90000.0,2
1,0,4,28,180000,90000.0,2
1,2,5,25,180000,90000.0,2
0,0,8,28,90000,90000.0,1
0,2,6,27,90000,90000.0,1
0,2,6,26,90000,90000.0,1
0,4,6,33,45000,45000.0,1
1,2,9,27,765000,127500.0,3
1,4,3,32,90000,90000.0,1
0,4,1,32,90000,90000.0,1
0,2,7,27,135000,67500.0,2
0,0,8,34,90000,90000.0,1
0,2,6,26,180000,180000.0,1
1,0,7,28,90000,90000.0,1
0,1,7,39,90000,90000.0,1
1,3,0,21,90000,90000.0,1
0,2,4,26,180000,90000.0,1
1,1,6,28,90000,90000.0,1
0,0,1,33,90000,90000.0,1
1,4,7,40,90000,90000.0,1
0,4,7,32,360000,180000.0,2
1,1,3,30,585000,97500.0,2
1,4,1,37,225000,225000.0,1
1,3,0,24,135000,135000.0,1
0,0,7,32,90000,90000.0,1
0,2,7,27,150000,150000.0,1
1,2,8,25,45000,45000.0,1
0,2,9,27,90000,90000.0,1
1,4,1,30,540000,135000.0,3
0,4,5,29,270000,90000.0,2
0,2,5,27,540000,108000.0,4
0,1,5,35,90000,90000.0,1
0,4,3,31,90000,45000.0,2
0,4,3,29,180000,180000.0,1
0,0,6,28,90000,90000.0,1
1,3,0,23,180000,90000.0,2
0,1,8,36,90000,90000.0,1
0,2,7,27,45000,45000.0,1
1,2,7,26,90000,90000.0,1
0,2,4,27,90000,90000.0,1
0,0,8,32,90000,90000.0,1
0,2,9,27,135000,135000.0,1
0,2,7,26,180000,90000.0,2
0,1,3,29,405000,101250.0,3
0,2,2,27,45000,45000.0,1
1,0,9,28,90000,90000.0,1
0,1,9,28,225000,225000.0,1
0,3,0,22,180000,90000.0,2
0,4,2,31,90000,90000.0,1
0,1,7,32,180000,90000.0,2
0,4,5,33,90000,90000.0,1
0,3,0,23,360000,90000.0,4
0,3,0,24,450000,112500.0,3
1,4,9,28,225000,75000.0,3
1,4,6,32,90000,90000.0,1
1,2,4,27,90000,90000.0,1
0,1,1,30,90000,90000.0,1
1,2,6,27,630000,126000.0,4
1,0,4,49,90000,90000.0,1
1,1,2,31,90000,90000.0,1
1,1,7,31,90000,90000.0,1
1,4,2,28,90000,90000.0,1
1,0,2,30,90000,90000.0,1
0,3,0,24,90000,90000.0,1
1,4,9,31,180000,90000.0,2
0,2,9,26,135000,67500.0,2
0,2,7,27,585000,585000.0,1
1,2,6,27,90000,90000.0,1
0,4,6,28,45000,45000.0,1
0,1,8,29,90000,90000.0,1
1,3,0,24,225000,112500.0,2
1,4,9,30,405000,81000.0,4
0,3,0,23,180000,90000.0,2
1,3,0,24,90000,90000.0,1
0,1,6,33,630000,90000.0,3
0,4,2,32,90000,90000.0,1
1,1,3,48,180000,90000.0,2
1,4,7,29,90000,90000.0,1
1,2,5,25,135000,67500.0,1
0,1,9,28,135000,135000.0,1
1,3,0,19,225000,112500.0,1
1,3,0,24,360000,120000.0,2
1,2,2,26,270000,90000.0,3
1,4,2,35,180000,90000.0,2
0,1,2,32,180000,60000.0,3
0,2,7,25,90000,90000.0,1
0,2,8,27,90000,90000.0,1
0,0,9,28,225000,225000.0,1
0,2,1,27,630000,90000.0,7
1,2,2,26,180000,90000.0,2
1,2,6,26,225000,225000.0,1
0,3,0,21,225000,112500.0,2
1,1,8,30,90000,90000.0,1
1,3,0,21,90000,90000.0,1
0,0,5,28,270000,270000.0,1
0,2,1,27,180000,90000.0,2
0,0,8,29,360000,90000.0,4
1,3,0,19,225000,112500.0,1
0,0,2,38,180000,90000.0,2
1,1,3,32,90000,90000.0,1
1,1,1,34,270000,90000.0,2
0,0,7,30,180000,90000.0,2
1,0,1,28,90000,90000.0,1
1,3,0,24,225000,225000.0,1
0,3,0,22,540000,135000.0,3
0,3,0,21,225000,225000.0,1
0,0,3,29,90000,90000.0,1
0,1,9,28,180000,90000.0,1
1,3,0,22,45000,45000.0,1
1,4,1,35,90000,90000.0,1
1,0,7,30,270000,90000.0,3
0,3,0,22,405000,405000.0,1
1,0,6,32,90000,90000.0,1
0,0,3,31,90000,90000.0,1
0,4,1,33,90000,90000.0,1
0,3,0,24,90000,90000.0,1
0,3,0,21,315000,315000.0,1
0,4,9,30,90000,90000.0,1
1,1,2,32,90000,90000.0,1
0,0,5,29,270000,270000.0,1
0,2,4,27,90000,90000.0,1
0,1,1,36,360000,90000.0,4
1,3,0,24,630000,157500.0,4
0,0,3,29,135000,135000.0,1
0,1,5,31,360000,90000.0,1
1,2,1,25,135000,135000.0,1
0,0,2,30,90000,90000.0,1
1,0,7,29,180000,90000.0,2
0,0,6,34,180000,90000.0,2
0,3,0,21,90000,90000.0,1
0,2,5,27,90000,90000.0,1
1,2,9,27,90000,90000.0,1
0,0,1,28,90000,90000.0,1
1,0,5,32,90000,90000.0,1
0,4,7,30,135000,135000.0,1
1,3,0,19,180000,90000.0,2
1,3,0,22,360000,90000.0,4
0,2,3,27,90000,90000.0,1
0,1,8,39,180000,180000.0,1
0,1,6,29,855000,122142.85714285714,6
0,1,3,35,90000,90000.0,1
1,4,1,29,90000,90000.0,1
0,2,5,27,90000,90000.0,1
1,3,0,24,180000,90000.0,2
0,0,5,32,315000,157500.0,2
0,2,7,26,90000,90000.0,1
0,1,7,39,90000,90000.0,1
0,1,9,32,225000,225000.0,1
0,0,2,33,270000,90000.0,2
0,1,7,43,45000,45000.0,1
0,0,6,29,180000,90000.0,1
1,3,0,24,180000,90000.0,1
1,2,5,26,90000,90000.0,1
1,3,0,24,90000,90000.0,1
1,4,1,32,180000,90000.0,2
1,4,6,32,90000,90000.0,1
1,4,9,33,90000,90000.0,1
0,4,3,33,90000,90000.0,1
0,0,6,40,135000,135000.0,1
1,4,4,29,90000,90000.0,1
0,0,4,30,90000,90000.0,1
0,1,8,40,45000,45000.0,1
0,3,0,21,630000,210000.0,2
1,1,8,29,225000,112500.0,2
0,4,6,32,405000,202500.0,2
1,4,5,31,135000,67500.0,2
1,3,0,24,180000,90000.0,2
0,2,1,27,315000,78750.0,4
0,2,1,24,225000,112500.0,2
1,3,0,24,270000,90000.0,2
1,2,7,26,225000,225000.0,1
0,1,2,34,270000,90000.0,3
1,3,0,22,45000,45000.0,1
0,0,7,33,90000,90000.0,1
1,3,0,24,45000,45000.0,1
1,3,0,20,90000,90000.0,1
0,3,0,22,910000,101111.11111111111,8
1,2,3,26,540000,108000.0,5
1,2,3,25,180000,180000.0,1
1,3,0,24,90000,90000.0,1
1,2,2,25,90000,90000.0,1
0,2,3,25,90000,90000.0,1
1,2,4,25,90000,90000.0,1
0,2,4,25,360000,90000.0,4
1,3,0,24,180000,90000.0,2
1,2,6,25,270000,90000.0,3
1,3,0,24,90000,90000.0,1
0,4,2,40,90000,90000.0,1
1,3,0,24,180000,90000.0,2
0,3,0,19,315000,315000.0,1
1,3,0,22,225000,225000.0,1
0,4,4,31,90000,90000.0,1
0,0,9,31,180000,90000.0,2
1,2,8,26,90000,90000.0,1
1,1,9,31,90000,90000.0,1
0,2,4,26,270000,90000.0,2
1,2,6,26,270000,270000.0,1
0,2,1,26,90000,90000.0,1
1,0,5,35,90000,90000.0,1
0,4,9,31,180000,180000.0,1
0,3,0,25,90000,90000.0,1
1,3,0,24,135000,135000.0,1
